tempo,entidade,variavel,valor,cenario
21,barra_8,PS,0.0,0
22,barra_8,PS,0.128807,0
23,barra_8,PS,0.0,0
24,barra_8,PS,0.131671,0
1,barra_9,PS,0.0,0
2,barra_9,PS,0.0,0
3,barra_9,PS,0.0,0
4,barra_9,PS,0.120783,0
5,barra_9,PS,0.119611,0
6,barra_9,PS,0.11276,0
7,barra_9,PS,0.0,0
8,barra_9,PS,0.0,0
9,barra_9,PS,0.098709,0
10,barra_9,PS,0.0,0
11,barra_9,PS,0.0,0
12,barra_9,PS,0.095901,0
13,barra_9,PS,0.0,0
14,barra_9,PS,0.070790841,0
15,barra_9,PS,0.090556,0
16,barra_9,PS,0.0,0
17,barra_9,PS,0.100575,0
18,barra_9,PS,0.107194,0
19,barra_9,PS,0.0,0
20,barra_9,PS,0.0,0
21,barra_9,PS,0.124458,0
22,barra_9,PS,0.128807,0
23,barra_9,PS,0.0,0
24,barra_9,PS,0.0,0
1,barra_10,PS,0.0,0
2,barra_10,PS,0.0,0
3,barra_10,PS,0.119916,0
4,barra_10,PS,0.0,0
5,barra_10,PS,0.0,0
6,barra_10,PS,0.0,0
7,barra_10,PS,0.0,0
8,barra_10,PS,0.0,0
9,barra_10,PS,0.098709,0
10,barra_10,PS,0.096437,0
11,barra_10,PS,0.096041,0
12,barra_10,PS,0.0,0
13,barra_10,PS,0.09411,0
14,barra_10,PS,0.09057,0
15,barra_10,PS,0.090556,0
16,barra_10,PS,0.0,0
17,barra_10,PS,0.100575,0
18,barra_10,PS,0.107194,0
19,barra_10,PS,0.0,0
20,barra_10,PS,0.123239,0
21,barra_10,PS,0.124458,0
22,barra_10,PS,0.0,0
23,barra_10,PS,0.0,0
24,barra_10,PS,0.0,0
1,barra_11,PS,0.115425,0
2,barra_11,PS,0.0,0
3,barra_11,PS,0.0,0
4,barra_11,PS,0.0,0
5,barra_11,PS,0.0,0
6,barra_11,PS,0.11276,0
7,barra_11,PS,0.0,0
8,barra_11,PS,0.102265,0
9,barra_11,PS,0.0,0
10,barra_11,PS,0.096437,0
11,barra_11,PS,0.0,0
12,barra_11,PS,0.095901,0
13,barra_11,PS,0.09411,0
14,barra_11,PS,0.0,0
15,barra_11,PS,0.0,0
16,barra_11,PS,0.094444,0
17,barra_11,PS,0.100575,0
18,barra_11,PS,0.0,0
19,barra_11,PS,0.119811,0
20,barra_11,PS,0.123239,0
21,barra_11,PS,0.124458,0
22,barra_11,PS,0.0,0
23,barra_11,PS,0.131972,0
24,barra_11,PS,0.0,0
1,barra_12,PS,0.115425,0
2,barra_12,PS,0.118028,0
3,barra_12,PS,0.0,0
4,barra_12,PS,0.0,0
5,barra_12,PS,0.119611,0
6,barra_12,PS,0.11276,0
7,barra_12,PS,0.104228,0
8,barra_12,PS,0.102265,0
9,barra_12,PS,0.098709,0
10,barra_12,PS,0.0,0
11,barra_12,PS,0.0,0
12,barra_12,PS,0.0,0
13,barra_12,PS,0.0,0
14,barra_12,PS,0.0,0
15,barra_12,PS,0.0,0
16,barra_12,PS,0.0,0
17,barra_12,PS,0.100575,0
18,barra_12,PS,0.0,0
19,barra_12,PS,0.0,0
20,barra_12,PS,0.123239,0
21,barra_12,PS,0.124458,0
22,barra_12,PS,0.0,0
23,barra_12,PS,0.131972,0
24,barra_12,PS,0.131671,0
1,barra_13,PS,0.0,0
2,barra_13,PS,0.118028,0
3,barra_13,PS,0.119916,0
4,barra_13,PS,0.120783,0
5,barra_13,PS,0.0,0
6,barra_13,PS,0.0,0
7,barra_13,PS,0.0,0
8,barra_13,PS,0.102265,0
9,barra_13,PS,0.0,0
10,barra_13,PS,0.0,0
11,barra_13,PS,0.0,0
12,barra_13,PS,0.0,0
13,barra_13,PS,0.0,0
14,barra_13,PS,0.0,0
15,barra_13,PS,0.0,0
16,barra_13,PS,0.0,0
17,barra_13,PS,0.0,0
18,barra_13,PS,0.0,0
19,barra_13,PS,0.119811,0
20,barra_13,PS,0.0,0
21,barra_13,PS,0.124458,0
22,barra_13,PS,0.128807,0
23,barra_13,PS,0.0,0
24,barra_13,PS,0.131671,0
1,barra_14,PS,0.0,0
2,barra_14,PS,0.0,0
3,barra_14,PS,0.0,0
4,barra_14,PS,0.0,0
5,barra_14,PS,0.0,0
6,barra_14,PS,0.0105,0
7,barra_14,PS,0.042,0
8,barra_14,PS,0.0875,0
9,barra_14,PS,0.1575,0
10,barra_14,PS,0.2275,0
11,barra_14,PS,0.28,0
12,barra_14,PS,0.322,0
13,barra_14,PS,0.35,0
14,barra_14,PS,0.336,0
15,barra_14,PS,0.294,0
16,barra_14,PS,0.2275,0
17,barra_14,PS,0.133,0
18,barra_14,PS,0.0525,0
19,barra_14,PS,0.0105,0
20,barra_14,PS,0.0,0
21,barra_14,PS,0.0,0
22,barra_14,PS,0.0,0
23,barra_14,PS,0.0,0
24,barra_14,PS,0.0,0
1,barra_15,PS,0.115425,0
2,barra_15,PS,0.118028,0
3,barra_15,PS,0.0,0
4,barra_15,PS,0.0,0
5,barra_15,PS,0.119611,0
6,barra_15,PS,0.0,0
7,barra_15,PS,0.0,0
8,barra_15,PS,0.0,0
9,barra_15,PS,0.0,0
10,barra_15,PS,0.0,0
11,barra_15,PS,0.0,0
12,barra_15,PS,0.0,0
13,barra_15,PS,0.0,0
14,barra_15,PS,0.0,0
15,barra_15,PS,0.0,0
16,barra_15,PS,0.0,0
17,barra_15,PS,0.0,0
18,barra_15,PS,0.057712469,0
19,barra_15,PS,0.11287732,0
20,barra_15,PS,0.123239,0
21,barra_15,PS,0.10591761,0
22,barra_15,PS,0.10341513,0
23,barra_15,PS,0.131972,0
24,barra_15,PS,0.0,0
1,barra_16,PS,0.024686339,0
2,barra_16,PS,0.017788484,0
3,barra_16,PS,0.0,0
4,barra_16,PS,0.03985265,0
5,barra_16,PS,0.0,0
6,barra_16,PS,0.024768737,0
7,barra_16,PS,0.0,0
8,barra_16,PS,0.076585137,0
9,barra_16,PS,0.0,0
10,barra_16,PS,0.01478342,0
