tempo,entidade,variavel,valor
6,barra_10,PS,0.0
7,barra_10,PS,0.0
8,barra_10,PS,0.0
9,barra_10,PS,0.0
10,barra_10,PS,0.0
11,barra_10,PS,0.0
12,barra_10,PS,0.0
13,barra_10,PS,0.0
14,barra_10,PS,0.0
15,barra_10,PS,0.0
16,barra_10,PS,0.0
17,barra_10,PS,0.0
18,barra_10,PS,0.0
19,barra_10,PS,0.0
20,barra_10,PS,0.0
21,barra_10,PS,0.0
22,barra_10,PS,0.0
23,barra_10,PS,0.0
24,barra_10,PS,0.0
1,barra_11,PS,0.0
2,barra_11,PS,0.0
3,barra_11,PS,0.0
4,barra_11,PS,0.0
5,barra_11,PS,0.0
6,barra_11,PS,0.0
7,barra_11,PS,0.0
8,barra_11,PS,0.0
9,barra_11,PS,0.0
10,barra_11,PS,0.0
11,barra_11,PS,0.0
12,barra_11,PS,0.0
13,barra_11,PS,0.0
14,barra_11,PS,0.0
15,barra_11,PS,0.0
16,barra_11,PS,0.0
17,barra_11,PS,0.0
18,barra_11,PS,0.0
19,barra_11,PS,0.0
20,barra_11,PS,0.0
21,barra_11,PS,0.0
22,barra_11,PS,0.0
23,barra_11,PS,0.0
24,barra_11,PS,0.0
1,barra_12,PS,0.0
2,barra_12,PS,0.0
3,barra_12,PS,0.0
4,barra_12,PS,0.0
5,barra_12,PS,0.0
6,barra_12,PS,0.0
7,barra_12,PS,0.0
8,barra_12,PS,0.0
9,barra_12,PS,0.0
10,barra_12,PS,0.0
11,barra_12,PS,0.0
12,barra_12,PS,0.0
13,barra_12,PS,0.0
14,barra_12,PS,0.0
15,barra_12,PS,0.0
16,barra_12,PS,0.0
17,barra_12,PS,0.0
18,barra_12,PS,0.0
19,barra_12,PS,0.0
20,barra_12,PS,0.0
21,barra_12,PS,0.0
22,barra_12,PS,0.0
23,barra_12,PS,0.0
24,barra_12,PS,0.0
1,barra_13,PS,0.0
2,barra_13,PS,0.0
3,barra_13,PS,0.0
4,barra_13,PS,0.0
5,barra_13,PS,0.0
6,barra_13,PS,0.0
7,barra_13,PS,0.0
8,barra_13,PS,0.0
9,barra_13,PS,0.0
10,barra_13,PS,0.0
11,barra_13,PS,0.0
12,barra_13,PS,0.0
13,barra_13,PS,0.0
14,barra_13,PS,0.0
15,barra_13,PS,0.0
16,barra_13,PS,0.0
17,barra_13,PS,0.0
18,barra_13,PS,0.0
19,barra_13,PS,0.0
20,barra_13,PS,0.0
21,barra_13,PS,0.0
22,barra_13,PS,0.0
